like_count,quote_count,reply_count,retweet_count,tweet_id
33856.0,219.0,141.0,7022.0,892420643555336193
29360.0,274.0,170.0,5304.0,892177421306343426
22077.0,145.0,109.0,3487.0,891815181378084864
36971.0,286.0,142.0,7234.0,891689557279858688
35348.0,296.0,193.0,7773.0,891327558926688256
17828.0,43.0,58.0,2603.0,891087950875897856
10380.0,55.0,51.0,1671.0,890971913173991426
56907.0,377.0,159.0,15776.0,890729181411237888
24555.0,129.0,92.0,3628.0,890609185150312448
27990.0,352.0,142.0,6108.0,890240255349198849
27067.0,267.0,154.0,6157.0,890006608113172480
24595.0,146.0,90.0,4174.0,889880896479866881
42095.0,318.0,174.0,8360.0,889665388333682689
23709.0,199.0,92.0,3720.0,889638837579907072
13358.0,81.0,58.0,1885.0,889531135344209921
22149.0,124.0,110.0,4449.0,889278841981685760
25664.0,91.0,81.0,3769.0,888917238123831296
22491.0,80.0,67.0,3544.0,888804989199671297
17340.0,61.0,71.0,2882.0,888554962724278272
,,,,888202515573088257
19168.0,170.0,94.0,2901.0,888078434458587136
26652.0,159.0,79.0,4542.0,887705289381826560
40764.0,1150.0,426.0,9863.0,887517139158093824
60242.0,588.0,213.0,15048.0,887473957103951883
29617.0,539.0,179.0,8819.0,887343217045368832
27007.0,186.0,131.0,4998.0,887101392804085760
30414.0,357.0,136.0,6326.0,886983233522544640
10505.0,78.0,47.0,2635.0,886736880519319552
19761.0,109.0,71.0,3742.0,886680336477933568
18562.0,117.0,73.0,2634.0,886366144734445568
105.0,0.0,2.0,4.0,886267009285017600
24553.0,215.0,102.0,5298.0,886258384151887873
0.0,0.0,0.0,93.0,886054160059072513
28636.0,173.0,122.0,5621.0,885984800019947520
31627.0,141.0,69.0,5336.0,885528943205470208
18029.0,156.0,113.0,3110.0,885518971528720385
0.0,0.0,0.0,15455.0,885311592912609280
19274.0,316.0,131.0,3673.0,885167619883638784
67373.0,543.0,374.0,15046.0,884925521741709313
24415.0,186.0,106.0,4677.0,884876753390489601
21346.0,209.0,105.0,3918.0,884562892145688576
23887.0,196.0,93.0,4796.0,884441805382717440
63381.0,182.0,130.0,16939.0,884247878851493888
17960.0,75.0,68.0,2509.0,884162670584377345
19197.0,116.0,112.0,2867.0,883838122936631299
40251.0,303.0,177.0,8279.0,883482846933004288
19967.0,130.0,129.0,3086.0,883360690899218434
32543.0,110.0,77.0,5543.0,883117836046086144
21003.0,53.0,56.0,3250.0,882992080364220416
24827.0,123.0,83.0,4106.0,882762694511734784
24621.0,262.0,120.0,5072.0,882627270321602560
39237.0,308.0,128.0,9649.0,882268110199369728
25755.0,1252.0,403.0,4089.0,882045870035918850
21460.0,132.0,98.0,2858.0,881906580714921986
44590.0,274.0,151.0,8969.0,881666595344535552
113.0,1.0,1.0,8.0,881633300179243008
43494.0,1224.0,428.0,13420.0,881536004380872706
20503.0,178.0,126.0,4498.0,881268444196462592
15066.0,75.0,43.0,2337.0,880935762899988482
18724.0,111.0,83.0,3205.0,880872448815771648
25041.0,222.0,123.0,5221.0,880465832366813184
23687.0,201.0,107.0,3474.0,880221127280381952
24360.0,172.0,147.0,3658.0,880095782870896641
19727.0,82.0,70.0,2935.0,879862464715927552
282.0,0.0,2.0,9.0,879674319642796034
20719.0,130.0,69.0,2630.0,879492040517615616
92961.0,4353.0,1123.0,37497.0,879415818425184262
14873.0,106.0,49.0,2656.0,879376492567855104
0.0,0.0,0.0,5749.0,879130579576475649
19828.0,160.0,125.0,3961.0,879050749262655488
16803.0,56.0,37.0,2246.0,879008229531029506
17151.0,68.0,63.0,3441.0,878776093423087618
26463.0,82.0,128.0,5936.0,878604707211726852
0.0,0.0,0.0,1079.0,878404777348136964
0.0,0.0,0.0,5536.0,878316110768087041
6790.0,38.0,33.0,1079.0,878281511006478336
37175.0,304.0,173.0,5749.0,878057613040115712
69397.0,635.0,208.0,15842.0,877736472329191424
0.0,0.0,0.0,70.0,877611172832227328
19918.0,150.0,80.0,3174.0,877556246731214848
24177.0,106.0,63.0,4353.0,877316821321428993
23889.0,268.0,136.0,4639.0,877201837425926144
18237.0,142.0,45.0,2807.0,876838120628539392
21063.0,49.0,64.0,3977.0,876537666061221889
16583.0,47.0,31.0,2005.0,876484053909872640
24710.0,106.0,66.0,3910.0,876120275196170240
22130.0,169.0,119.0,3588.0,875747767867523072
19426.0,199.0,117.0,4160.0,875144289856114688
24265.0,66.0,56.0,5125.0,875097192612077568
22574.0,66.0,60.0,3980.0,875021211251597312
24627.0,138.0,93.0,3925.0,874680097055178752
0.0,0.0,0.0,12227.0,874434818259525634
22986.0,106.0,112.0,3488.0,874296783580663808
20140.0,85.0,94.0,3383.0,874057562936811520
30154.0,209.0,61.0,8603.0,874012996292530176
,,,,873697596434513921
21404.0,102.0,57.0,3346.0,873580283840344065
0.0,0.0,0.0,1333.0,873337748698140672
6326.0,30.0,17.0,1333.0,873213775632977920
24106.0,89.0,68.0,4569.0,872967104147763200
13082.0,141.0,120.0,3170.0,872820683541237760
,,,,872668790621863937
18349.0,76.0,61.0,3070.0,872620804844003328
36131.0,371.0,190.0,7727.0,872486979161796608
,,,,872261713294495745
30260.0,262.0,110.0,6838.0,872122724285648897
33144.0,326.0,105.0,9260.0,871879754684805121
17904.0,56.0,57.0,2973.0,871762521631449091
17911.0,153.0,134.0,2947.0,871515927908634625
0.0,0.0,0.0,4900.0,871166179821445120
18565.0,127.0,73.0,4691.0,871102520638267392
20175.0,52.0,51.0,3231.0,871032628920680449
29836.0,129.0,136.0,5290.0,870804317367881728
105.0,0.0,0.0,3.0,870726314365509632
10899.0,99.0,74.0,2215.0,870656317836468226
74019.0,1018.0,751.0,22775.0,870374049280663552
19501.0,109.0,59.0,3554.0,870308999962521604
32457.0,341.0,151.0,7086.0,870063196459192321
,,,,869988702071779329
38066.0,477.0,210.0,8707.0,869772420881756160
25088.0,286.0,134.0,5393.0,869702957897576449
14231.0,86.0,59.0,2642.0,869596645499047938
18157.0,125.0,64.0,3202.0,869227993411051520
58047.0,414.0,183.0,12279.0,868880397819494401
0.0,0.0,0.0,1757.0,868639477480148993
23667.0,108.0,71.0,4484.0,868622495443632128
8981.0,33.0,31.0,1757.0,868552278524837888
21630.0,63.0,86.0,3579.0,867900495410671616
30314.0,150.0,69.0,6263.0,867774946302451713
14361.0,54.0,55.0,2119.0,867421006826221569
0.0,0.0,0.0,101.0,867072653475098625
28741.0,132.0,134.0,6797.0,867051520902168576
,,,,866816280283807744
17893.0,69.0,90.0,4137.0,866720684873056260
17147.0,89.0,56.0,2975.0,866686824827068416
108997.0,1521.0,481.0,30258.0,866450705531457537
46667.0,290.0,142.0,12227.0,866334964761202691
0.0,0.0,0.0,7175.0,866094527597207552
22958.0,197.0,118.0,4861.0,865718153858494464
23639.0,197.0,87.0,4300.0,865359393868664832
25067.0,479.0,178.0,6686.0,865006731092295680
28893.0,164.0,105.0,7505.0,864873206498414592
13089.0,126.0,59.0,2589.0,864279568663928832
26673.0,234.0,92.0,7600.0,864197398364647424
18467.0,138.0,97.0,3598.0,863907417377173506
13700.0,199.0,76.0,3642.0,863553081350529029
0.0,0.0,0.0,2093.0,863471782782697472
21342.0,153.0,100.0,4565.0,863432100342583297
1961.0,0.0,7.0,80.0,863427515083354112
7913.0,29.0,52.0,954.0,863079547188785154
7539.0,81.0,49.0,2093.0,863062471531167744
17233.0,103.0,56.0,4466.0,862831371563274240
15351.0,165.0,65.0,3093.0,862722525377298433
18304.0,295.0,131.0,4267.0,862457590147678208
66396.0,641.0,200.0,20034.0,862096992088072192
,,,,861769973181624320
32333.0,369.0,150.0,9282.0,861383897657036800
15368.0,125.0,82.0,3595.0,861288531465048066
15017.0,189.0,70.0,3344.0,861005113778896900
0.0,0.0,0.0,1859.0,860981674716409858
0.0,0.0,0.0,679.0,860924035999428608
6737.0,56.0,32.0,1859.0,860563773140209665
21290.0,208.0,173.0,4611.0,860524505164394496
16605.0,129.0,49.0,3082.0,860276583193509888
15041.0,126.0,84.0,5131.0,860184849394610176
0.0,0.0,0.0,26800.0,860177593139703809
17658.0,175.0,95.0,3592.0,859924526012018688
13988.0,127.0,58.0,3074.0,859851578198683649
16861.0,21.0,137.0,1369.0,859607811541651456
80677.0,1307.0,520.0,26334.0,859196978902773760
30488.0,428.0,152.0,11987.0,859074603037188101
0.0,0.0,0.0,7100.0,858860390427611136
14146.0,93.0,55.0,3032.0,858843525470990336
19517.0,124.0,93.0,4270.0,858471635011153920
14258.0,104.0,75.0,2542.0,858107933456039936
14514.0,49.0,44.0,2271.0,857989990357356544
30863.0,430.0,159.0,9368.0,857746408056729600
5316.0,58.0,26.0,1444.0,857393404942143489
18277.0,169.0,93.0,3992.0,857263160327368704
204.0,0.0,0.0,16.0,857214891891077121
0.0,0.0,0.0,148.0,857062103051644929
17078.0,103.0,60.0,3499.0,857029823797047296
,,,,856602993587888130
14857.0,55.0,49.0,2555.0,856543823941562368
10845.0,31.0,33.0,1658.0,856526610513747968
,,,,856330835276025856
489.0,1.0,4.0,15.0,856288084350160898
25287.0,244.0,130.0,5593.0,856282028240666624
303.0,0.0,1.0,21.0,855862651834028034
4423.0,16.0,13.0,853.0,855860136149123072
10873.0,20.0,9.0,1867.0,855857698524602368
41943.0,464.0,140.0,16156.0,855851453814013952
24316.0,102.0,109.0,4826.0,855818117272018944
27141.0,189.0,91.0,7321.0,855459453768019968
0.0,0.0,0.0,5278.0,855245323840757760
0.0,0.0,0.0,36.0,855138241867124737
20725.0,194.0,87.0,5370.0,854732716440526848
26636.0,344.0,131.0,6041.0,854482394044301312
17224.0,164.0,68.0,4166.0,854365224396361728
29283.0,1684.0,585.0,6604.0,854120357044912130
14861.0,65.0,43.0,2801.0,854010172552949760
26135.0,237.0,108.0,5123.0,853760880890318849
31606.0,155.0,93.0,8901.0,853639147608842240
14196.0,122.0,64.0,3179.0,853299958564483072
0.0,0.0,0.0,1792.0,852936405516943360
8269.0,47.0,21.0,1604.0,852912242202992640
13672.0,32.0,33.0,1918.0,852672615818899456
14922.0,62.0,37.0,3128.0,852553447878664193
30405.0,524.0,168.0,8900.0,852311364735569921
18382.0,728.0,244.0,6109.0,852226086759018497
10587.0,21.0,29.0,1422.0,852189679701164033
,,,,851953902622658560
,,,,851861385021730816
14988.0,99.0,66.0,3137.0,851591660324737024
22305.0,693.0,206.0,6328.0,851464819735769094
19076.0,240.0,95.0,5183.0,851224888060895234
28209.0,428.0,161.0,8111.0,850753642995093505
12103.0,139.0,55.0,2336.0,850380195714523136
3199.0,3.0,8.0,301.0,850333567704068097
15076.0,153.0,99.0,3405.0,850145622816686080
18822.0,104.0,74.0,4389.0,850019790995546112
27971.0,228.0,155.0,6844.0,849776966551130114
0.0,0.0,0.0,4457.0,849668094696017920
14696.0,99.0,62.0,2840.0,849412302885593088
10583.0,24.0,33.0,1696.0,849336543269576704
39089.0,346.0,171.0,7656.0,849051919805034497
23313.0,71.0,110.0,3935.0,848690551926992896
22876.0,149.0,73.0,4173.0,848324959059550208
7550.0,9.0,41.0,649.0,848213670039564288
15066.0,121.0,111.0,2726.0,848212111729840128
0.0,0.0,0.0,2933.0,847978865427394560
0.0,0.0,0.0,396.0,847971574464610304
21775.0,126.0,120.0,4591.0,847962785489326080
5024.0,51.0,32.0,1194.0,847842811428974592
6476.0,8.0,17.0,376.0,847617282490613760
17385.0,85.0,61.0,3102.0,847606175596138505
19025.0,75.0,43.0,3929.0,847251039262605312
18408.0,384.0,158.0,5267.0,847157206088847362
19908.0,70.0,75.0,2888.0,847116187444137987
18659.0,116.0,61.0,3562.0,846874817362120707
41299.0,752.0,243.0,10419.0,846514051647705089
13102.0,26.0,63.0,2771.0,846505985330044928
29168.0,406.0,149.0,8200.0,846153765933735936
28872.0,197.0,96.0,9190.0,846139713627017216
14843.0,113.0,43.0,2598.0,846042936437604353
27095.0,208.0,101.0,7894.0,845812042753855489
23486.0,144.0,113.0,4395.0,845677943972139009
,,,,845459076796616705
7101.0,42.0,23.0,1624.0,845397057150107648
21670.0,176.0,68.0,4875.0,845306882940190720
0.0,0.0,0.0,6958.0,845098359547420673
12703.0,57.0,47.0,2320.0,844979544864018432
13965.0,117.0,89.0,2865.0,844973813909606400
,,,,844704788403113984
15321.0,59.0,41.0,2824.0,844580511645339650
12727.0,51.0,39.0,1994.0,844223788422217728
14152.0,61.0,43.0,2706.0,843981021012017153
20004.0,225.0,84.0,4179.0,843856843873095681
15745.0,49.0,58.0,2487.0,843604394117681152
20013.0,297.0,138.0,5435.0,843235543001513987
,,,,842892208864923648
14250.0,77.0,55.0,3320.0,842846295480000512
6308.0,28.0,16.0,1178.0,842765311967449089
16957.0,132.0,81.0,3192.0,842535590457499648
22786.0,260.0,85.0,5278.0,842163532590374912
13063.0,100.0,45.0,2766.0,842115215311396866
0.0,0.0,0.0,13621.0,841833993020538882
24086.0,332.0,131.0,7177.0,841680585030541313
11775.0,141.0,55.0,3345.0,841439858740625411
18457.0,146.0,63.0,5038.0,841320156043304961
14781.0,177.0,74.0,4250.0,841314665196081154
21383.0,262.0,142.0,4900.0,841077006473256960
0.0,0.0,0.0,1625.0,840761248237133825
0.0,0.0,0.0,14643.0,840728873075638272
165.0,0.0,2.0,2.0,840698636975636481
11511.0,28.0,49.0,892.0,840696689258311684
8448.0,50.0,27.0,1625.0,840632337062862849
15371.0,172.0,89.0,4193.0,840370681858686976
17950.0,174.0,60.0,5239.0,840268004936019968
12566.0,83.0,64.0,2078.0,839990271299457024
25642.0,180.0,92.0,7100.0,839549326359670784
0.0,0.0,0.0,133.0,839290600511926273
25292.0,615.0,208.0,5960.0,839239871831150596
18412.0,82.0,59.0,3670.0,838952994649550848
10447.0,61.0,34.0,1861.0,838921590096166913
0.0,0.0,0.0,31.0,838916489579200512
0.0,0.0,0.0,10071.0,838831947270979586
10275.0,42.0,44.0,1234.0,838561493054533637
21029.0,115.0,79.0,4359.0,838476387338051585
0.0,0.0,0.0,9238.0,838201503651401729
1572.0,8.0,8.0,304.0,838150277551247360
133.0,0.0,5.0,1.0,838085839343206401
16510.0,103.0,79.0,2856.0,838083903487373313
31907.0,178.0,89.0,7175.0,837820167694528512
3618.0,18.0,13.0,409.0,837482249356513284
12020.0,47.0,37.0,2068.0,837471256429613056
,,,,837366284874571778
15099.0,61.0,70.0,2185.0,837110210464448512
,,,,837012587749474308
11984.0,80.0,47.0,2123.0,836989968035819520
18171.0,311.0,79.0,4276.0,836753516572119041
11873.0,59.0,93.0,2030.0,836677758902222849
0.0,0.0,0.0,509.0,836648853927522308
0.0,0.0,0.0,25172.0,836397794269200385
13937.0,91.0,72.0,2753.0,836380477523124226
20008.0,112.0,59.0,3990.0,836260088725786625
17939.0,87.0,45.0,3906.0,836001077879255040
0.0,0.0,0.0,7452.0,835685285446955009
16693.0,123.0,58.0,3310.0,835574547218894849
0.0,0.0,0.0,1551.0,835536468978302976
0.0,0.0,0.0,19233.0,835309094223372289
15472.0,166.0,77.0,2751.0,835297930240217089
7253.0,33.0,27.0,1551.0,835264098648616962
1993.0,5.0,9.0,63.0,835246439529840640
24629.0,209.0,91.0,5317.0,835172783151792128
21007.0,82.0,123.0,2770.0,835152434251116546
10130.0,47.0,50.0,1497.0,834931633769889797
20271.0,392.0,120.0,5124.0,834786237630337024
12846.0,47.0,32.0,2322.0,834574053763584002
0.0,0.0,0.0,9803.0,834477809192075265
9050.0,52.0,53.0,1554.0,834458053273591808
19307.0,171.0,75.0,4344.0,834209720923721728
14866.0,123.0,127.0,3374.0,834167344700198914
9469.0,52.0,85.0,1972.0,834089966724603904
12271.0,59.0,41.0,2046.0,834086379323871233
12657.0,68.0,31.0,2218.0,833863086058651648
17112.0,86.0,66.0,3497.0,833826103416520705
0.0,0.0,0.0,205.0,833732339549220864
19732.0,123.0,98.0,3009.0,833722901757046785
14047.0,89.0,90.0,1898.0,833479644947025920
19034.0,160.0,95.0,4457.0,833124694597443584
12469.0,223.0,75.0,2026.0,832998151111966721
0.0,0.0,0.0,38.0,832769181346996225
15889.0,115.0,45.0,3333.0,832757312314028032
11167.0,34.0,32.0,2672.0,832682457690300417
2747.0,53.0,24.0,485.0,832645525019123713
14935.0,70.0,46.0,2574.0,832636094638288896
11262.0,100.0,64.0,2041.0,832397543355072512
16114.0,114.0,81.0,2933.0,832369877331693569
10674.0,68.0,41.0,2151.0,832273440279240704
0.0,0.0,0.0,5743.0,832215909146226688
0.0,0.0,0.0,8611.0,832215726631055365
59.0,0.0,2.0,2.0,832088576586297345
0.0,0.0,0.0,8852.0,832040443403784192
16805.0,455.0,158.0,4314.0,832032802820481025
22508.0,416.0,184.0,5673.0,831939777352105988
319.0,3.0,1.0,34.0,831926988323639298
25899.0,446.0,121.0,5998.0,831911600680497154
9810.0,64.0,41.0,1691.0,831670449226514432
6699.0,53.0,35.0,1792.0,831650051525054464
8473.0,50.0,22.0,2167.0,831552930092285952
8774.0,56.0,35.0,1448.0,831322785565769729
6186.0,62.0,51.0,1040.0,831315979191906304
11121.0,90.0,44.0,2275.0,831309418084069378
11193.0,67.0,38.0,1896.0,831262627380748289
7532.0,62.0,21.0,1380.0,830956169170665475
62580.0,488.0,194.0,15455.0,830583320585068544
0.0,0.0,0.0,5258.0,830173239259324417
9192.0,173.0,44.0,2710.0,830097400375152640
0.0,0.0,0.0,4623.0,829878982036299777
11550.0,41.0,32.0,1798.0,829861396166877184
29949.0,355.0,129.0,9803.0,829501995190984704
9900.0,112.0,29.0,1865.0,829449946868879360
,,,,829374341691346946
22952.0,232.0,85.0,6790.0,829141528400556032
50364.0,769.0,249.0,15151.0,829011960981237760
0.0,0.0,0.0,3174.0,828801551087042563
24152.0,232.0,97.0,5411.0,828770345708580865
34322.0,562.0,229.0,10358.0,828708714936930305
8974.0,38.0,15.0,1245.0,828650029636317184
6051.0,62.0,26.0,1085.0,828409743546925057
7266.0,44.0,28.0,1190.0,828408677031882754
11897.0,80.0,50.0,2066.0,828381636999917570
6996.0,34.0,11.0,996.0,828376505180889089
11889.0,167.0,41.0,2730.0,828372645993398273
2074.0,3.0,8.0,165.0,828361771580813312
11077.0,84.0,54.0,2663.0,828046555563323392
9793.0,57.0,31.0,2003.0,828011680017821696
18893.0,236.0,117.0,4848.0,827933404142436356
14611.0,89.0,48.0,2802.0,827653905312006145
7068.0,44.0,34.0,866.0,827600520311402496
14968.0,64.0,34.0,2814.0,827324948884643840
,,,,827228250799742977
10020.0,55.0,51.0,2065.0,827199976799354881
20352.0,130.0,78.0,4623.0,826958653328592898
34101.0,949.0,249.0,9363.0,826848821049180160
0.0,0.0,0.0,3689.0,826615380357632002
4867.0,7.0,87.0,230.0,826598799820865537
9462.0,53.0,41.0,2183.0,826598365270007810
17401.0,139.0,56.0,3898.0,826476773533745153
12543.0,96.0,56.0,2425.0,826240494070030336
4602.0,32.0,20.0,857.0,826204788643753985
14759.0,73.0,44.0,2878.0,826115272272650244
9933.0,47.0,36.0,1740.0,825876512159186944
12038.0,61.0,31.0,2339.0,825829644528148480
54029.0,374.0,235.0,16379.0,825535076884762624
17288.0,209.0,95.0,4192.0,825147591692263424
0.0,0.0,0.0,1168.0,825120256414846976
5918.0,49.0,37.0,1168.0,825026590719483904
0.0,0.0,0.0,5110.0,824796380199809024
14085.0,87.0,42.0,3282.0,824775126675836928
9947.0,61.0,43.0,1651.0,824663926340194305
11200.0,179.0,69.0,9902.0,824325613288833024
14248.0,127.0,83.0,3575.0,824297048279236611
4586.0,12.0,31.0,558.0,824025158776213504
10072.0,118.0,39.0,2542.0,823939628516474880
0.0,0.0,0.0,10380.0,823719002937630720
13225.0,98.0,89.0,2339.0,823699002998870016
12286.0,66.0,40.0,2449.0,823581115634085888
662.0,1.0,2.0,22.0,823333489516937216
14846.0,147.0,67.0,3723.0,823322678127919110
0.0,0.0,0.0,9245.0,823269594223824897
16393.0,87.0,56.0,3202.0,822975315408461824
124239.0,1129.0,592.0,39989.0,822872901745569793
12470.0,63.0,48.0,2114.0,822859134160621569
0.0,0.0,0.0,5962.0,822647212903690241
13989.0,63.0,58.0,2738.0,822610361945911296
17139.0,384.0,104.0,5962.0,822489057087389700
26343.0,1811.0,295.0,13172.0,822462944365645825
33157.0,338.0,148.0,9245.0,822244816520155136
0.0,0.0,0.0,4392.0,822163064745328640
10691.0,67.0,31.0,2147.0,821886076407029760
0.0,0.0,0.0,3127.0,821813639212650496
7917.0,30.0,27.0,1557.0,821765923262631936
7583.0,62.0,33.0,1634.0,821522889702862852
0.0,0.0,0.0,5134.0,821421320206483457
11115.0,486.0,102.0,4000.0,821407182352777218
236.0,0.0,0.0,9.0,821153421864615936
8120.0,59.0,28.0,1826.0,821149554670182400
9083.0,59.0,47.0,1977.0,821107785811234820
11973.0,64.0,34.0,2128.0,821044531881721856
0.0,0.0,0.0,6253.0,820837357901512704
29877.0,279.0,108.0,9238.0,820749716845686786
11601.0,100.0,72.0,3007.0,820690176645140481
0.0,0.0,0.0,523.0,820494788566847489
0.0,0.0,0.0,2398.0,820446719150292993
3163.0,15.0,20.0,523.0,820314633777061888
18675.0,191.0,70.0,5803.0,820078625395449857
0.0,0.0,0.0,1084.0,820013781606658049
5025.0,15.0,11.0,1084.0,819952236453363712
12249.0,333.0,101.0,4553.0,819924195358416896
12639.0,100.0,43.0,2882.0,819711362133872643
9167.0,64.0,34.0,1871.0,819588359383371776
6851.0,49.0,28.0,1119.0,819347104292290561
2141.0,10.0,15.0,379.0,819238181065359361
21819.0,238.0,85.0,6253.0,819227688460238848
0.0,0.0,0.0,34592.0,819015337530290176
0.0,0.0,0.0,17823.0,819015331746349057
43081.0,287.0,89.0,17823.0,819006400881917954
82782.0,1030.0,239.0,34592.0,819004803107983360
0.0,0.0,0.0,19480.0,818646164899774465
21255.0,361.0,75.0,7067.0,818627210458333184
9318.0,81.0,37.0,2358.0,818614493328580609
0.0,0.0,0.0,5706.0,818588835076603904
10289.0,94.0,96.0,2279.0,818536468981415936
0.0,0.0,0.0,7479.0,818307523543449600
10429.0,104.0,54.0,2091.0,818259473185828864
